"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","變更密碼","0","變更密碼測試","4","0","反向情境 - 密碼格式錯誤","0"
"0","UI 使用者相關功能","0","登入功能","1","0","正向情境 - 使用者成功登入","0"
"0","物品相關功能","0","獲取物品 (WS)","1","0","反向情境 - 物品不存在","0"
"0","使用者相關功能","0","綁定手機功能","6","0","反向情境 - 綁定手機","0"
"0","使用者相關功能","0","更新名稱功能","3","0","正向情境 - 變更名稱","0"
"0","物品相關功能","0","獲取物品","1","0","正向情境 - 成功獲取物品","0"
"0","物品相關功能","0","獲取多個物品","1","0","正向情境 - 獲取多個物品","0"
"0","使用者相關功能","0","更新名稱功能","3","0","反向情境 - 變更名稱","0"
"0","使用者相關功能","0","註冊功能","3","0","正向情境 - 使用者成功註冊","0"
"0","使用者相關功能","0","綁定手機功能","1","0","正向情境 - 綁定手機","0"
"0","使用者相關功能","0","登入功能","1","0","正向情境 - 使用者成功登入","0"
"0","物品相關功能","0","透過 WS 獲取物品","1","0","正向情境 - 獲取所有物品","0"
"0","物品相關功能","0","獲取物品 (WS)","1","0","邊界值情境 - 不提供 item_id","0"
"0","使用者相關功能","0","註冊功能","2","0","反向情境 - 帳號格式錯誤","0"
"0","UI 使用者相關功能","0","登入功能","1","0","反向情境 - 帳號錯誤","0"
"0","UI 使用者相關功能","0","登入功能","1","0","反向情境 - 密碼錯誤","0"
"0","UI 使用者相關功能","0","登入功能","2","0","反向情境 - 欄位留空","0"
"0","使用者相關功能","0","註冊功能","4","0","反向情境 - 密碼格式錯誤","0"
"0","使用者個人資料完整流程","0","從註冊到變更資料","1","0","使用者個人資料完整流程","0"
"0","物品相關功能","0","獲取物品","1","0","邊界值情境 - 無效的 item_id","0"
"0","物品相關功能","0","獲取物品","1","0","反向情境 - 物品不存在","0"
"0","變更密碼","0","變更密碼測試","1","0","反向情境 - 舊密錯誤","0"
"0","使用者相關功能","0","註冊功能","1","0","反向情境 - 帳號已存在","0"
"0","UI 購買成功流程","0","商品購買","1","0","成功購買一件商品","0"
"0","物品相關功能","0","獲取物品 (WS)","1","0","正向情境 - 成功獲取物品","0"
"0","使用者相關功能","0","登入功能","1","0","反向情境 - 帳號錯誤","0"
"0","使用者相關功能","0","登入功能","1","0","反向情境 - 密碼錯誤","0"
"0","使用者相關功能","0","取得使用者資訊功能","1","0","正向情境 - 取得使用者資訊","0"
"0","變更密碼","0","變更密碼測試","1","0","正向情境 - 變更密碼","0"
