"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"手機號碼長度不足10碼","2","格式錯誤 - 長度不足 (9碼)","testcases.api_test.ws","2026-08-14","passed","2026-08-14","TestBindPhone","test_bind_phone","",""
"輸入正確的帳號密碼，驗證是否可以成功登入","554","UI 登入成功","testcases.ui_test.single_page","2026-08-14","passed","2026-08-14","TestLoginPage","test_login","",""
"手機號碼開頭不是09","2","格式錯誤 - 非09開頭","testcases.api_test.ws","2026-08-14","passed","2026-08-14","TestBindPhone","test_bind_phone","",""
"輸入正確的帳號密碼，驗證是否可以成功登入","356","UI 登入成功","testcases.ui_test.single_page","2026-08-14","passed","2026-08-14","TestLoginPage","test_login","",""
"輸入正確的帳號及錯誤的密碼，驗證是否顯示錯誤訊息","306","密碼錯誤","testcases.ui_test.single_page","2026-08-14","passed","2026-08-14","TestLoginPage","test_login","",""
"模擬使用者從登入、瀏覽、加入購物車到完成結帳的完整流程。","716","UI 成功購買商品","testcases.ui_test.scenario","2026-08-14","passed","2026-08-14","TestProductPurchase","test_purchase_a_product","",""
"手機號碼長度超過10碼","2","格式錯誤 - 長度過長 (11碼)","testcases.api_test.ws","2026-08-14","passed","2026-08-14","TestBindPhone","test_bind_phone","",""
"使用一個極大的 item_id 測試物品不存在的情境","4","獲取不存在的物品","testcases.api_test.http","2026-08-14","passed","2026-08-14","TestGetItem","test_get_item","",""
"帳號已輸入，密碼留空，驗證是否顯示錯誤訊息","317","密碼留空","testcases.ui_test.single_page","2026-08-14","passed","2026-08-14","TestLoginPage","test_login","",""
"嘗試綁定一個已經被其他帳號註冊的手機號碼","2","綁定失敗 - 手機號碼已被註冊","testcases.api_test.ws","2026-08-14","passed","2026-08-14","TestBindPhone","test_bind_phone","",""
"模擬使用者從登入、瀏覽、加入購物車到完成結帳的完整流程。","1208","UI 成功購買商品","testcases.ui_test.scenario","2026-08-14","passed","2026-08-14","TestProductPurchase","test_purchase_a_product","",""
"手機號碼包含非數字字元","1","格式錯誤 - 包含非數字字元","testcases.api_test.ws","2026-08-14","passed","2026-08-14","TestBindPhone","test_bind_phone","",""
"測試登入後, 是否可以成功綁定手機 (09開頭, 10碼數字)","3","綁定成功 - 格式正確","testcases.api_test.ws","2026-08-14","passed","2026-08-14","TestBindPhone","test_bind_phone","",""
"測試登入後, 是否可以成功使用4碼變更名稱","3","變更名稱成功-4碼","testcases.api_test.ws","2026-08-14","passed","2026-08-14","TestUpdateName","test_update_name","",""
"輸入一個不存在的隨機帳號","4","帳號有誤","testcases.api_test.http","2026-08-14","passed","2026-08-14","TestLogin","test_login","",""
"輸入正確格式的舊密碼新密碼","519","變更密碼成功","testcases.api_test.http","2026-08-14","passed","2026-08-14","TestChangePassword","test_change_password","",""
"帳號已輸入，密碼留空，驗證是否顯示錯誤訊息","288","密碼留空","testcases.ui_test.single_page","2026-08-14","passed","2026-08-14","TestLoginPage","test_login","",""
"帳號留空，密碼已輸入，驗證是否顯示錯誤訊息","247","帳號留空","testcases.ui_test.single_page","2026-08-14","passed","2026-08-14","TestLoginPage","test_login","",""
"使用一個極大的 item_id 測試物品不存在的情境","1","獲取不存在的物品","testcases.api_test.ws","2026-08-14","passed","2026-08-14","TestItemWS","test_get_item","",""
"帳號留空，密碼已輸入，驗證是否顯示錯誤訊息","323","帳號留空","testcases.ui_test.single_page","2026-08-14","passed","2026-08-14","TestLoginPage","test_login","",""
"輸入不存在的帳號，驗證是否顯示錯誤訊息","302","帳號錯誤","testcases.ui_test.single_page","2026-08-14","passed","2026-08-14","TestLoginPage","test_login","",""
"帳號留空，密碼已輸入，驗證是否顯示錯誤訊息","320","帳號留空","testcases.ui_test.single_page","2026-08-14","passed","2026-08-14","TestLoginPage","test_login","",""
"依序測試 1.註冊 -> 2.登入 -> 3.驗證初始資料 -> 4.變更名稱後驗證名稱 -> 5.變更密碼 -> 6.驗證新密碼 -> 7.還原密碼","1868","從註冊到變更密碼的完整使用者流程","testcases.api_test.scenario","2026-08-14","passed","2026-08-14","TestUserProfileScenario","test_user_profile_scenario","",""
"帳號已輸入，密碼留空，驗證是否顯示錯誤訊息","402","密碼留空","testcases.ui_test.single_page","2026-08-14","passed","2026-08-14","TestLoginPage","test_login","",""
"輸入正確的帳號及錯誤的密碼，驗證是否顯示錯誤訊息","413","密碼錯誤","testcases.ui_test.single_page","2026-08-14","passed","2026-08-14","TestLoginPage","test_login","",""
"帳號5~20英數, 密碼7~20英數","264","註冊成功 - 動態新帳號","testcases.api_test.http","2026-08-14","passed","2026-08-14","TestRegister","test_register","",""
"密碼輸入全數","261","格式錯誤 - 密碼全數","testcases.api_test.http","2026-08-14","passed","2026-08-14","TestChangePassword","test_change_password","",""
"密碼輸入6碼英數","263","格式錯誤 - 密碼過短-邊界值(6碼)","testcases.api_test.http","2026-08-14","passed","2026-08-14","TestChangePassword","test_change_password","",""
"反向測試：密碼全數","4","格式錯誤 - 密碼全數","testcases.api_test.http","2026-08-14","passed","2026-08-14","TestRegister","test_register","",""
"驗證載入 storage_state 後可直接進入商品頁，不需重新登入","330","test_directly_on_inventory_without_login[webkit]","testcases.ui_test.single_page","2026-08-14","passed","2026-08-14","TestLoggedInState","test_logged_in_state","",""
"輸入正確帳號，但密碼錯誤","261","密碼有誤","testcases.api_test.http","2026-08-14","passed","2026-08-14","TestLogin","test_login","",""
